driver_name,driver_id,race_date,series,track_name,start,mid,finish,best,worst,avg,green_flag_passing_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,laps,rating,status
Daniel Suarez,4113,2023/03/19,Cup,Atlanta Motor Speedway,25,10,29,4,27,17.07,13,165,152,81,49.09090909090909,2,132,61.971830985915496,0,0.0,213,64.53,dvp
Noah Gragson,4224,2024/08/18,Cup,Michigan International Speedway,25,27,12,6,33,20.8,-12,122,134,27,22.131147540983605,0,42,20.388349514563107,0,0.0,206,55.5,running
Ty Dillon,4013,2021/11/06,Trucks,Phoenix Raceway,19,18,25,8,27,18.85,-2,33,35,18,54.54545454545455,0,55,36.91275167785235,0,0.0,149,64.67,running
Justin Haley,4172,2023/04/16,Cup,Martinsville Speedway,26,19,28,9,32,23.18,-7,43,50,0,0.0,0,3,0.7537688442211056,0,0.0,398,47.5,running
Ben Rhodes,4107,2023/09/09,Trucks,Kansas Speedway,6,8,25,1,30,14.8,-18,38,56,22,57.89473684210526,3,69,52.27272727272727,2,1.5151515151515151,132,70.46,running
Christian Eckes,4268,2022/04/08,Trucks,Martinsville Speedway,7,2,12,2,22,7.82,0,20,20,20,100.0,2,199,99.5,0,0.0,200,97.81,running
Ryan Vargas,4320,2019/08/24,O'Reilly,Road America,33,22,18,16,33,24.48,2,31,29,0,0.0,0,0,0.0,0,0.0,45,50.5,running
Cole Custer,4104,2024/10/05,O'Reilly,Talladega Superspeedway,10,6,27,3,27,13.76,-10,200,210,159,79.5,0,68,70.10309278350516,0,0.0,97,73.5,running
Anthony Alfredo,4301,2021/07/18,Cup,New Hampshire Motor Speedway,27,32,32,23,36,31.76,0,13,13,0,0.0,0,0,0.0,0,0.0,285,34.83,running
Ty Dillon,4013,2021/07/04,Cup,Road America,39,28,26,8,39,27.48,-36,31,67,1,3.225806451612903,0,3,4.838709677419355,0,0.0,62,45.33,running
Alex Bowman,4045,2023/06/26,Cup,Nashville Superspeedway,15,25,17,1,26,15.82,-9,107,116,46,42.99065420560748,16,165,55.0,9,3.0,300,70.4,running
Austin Cindric,4180,2024/02/20,Cup,Daytona International Speedway,6,7,22,1,30,12.28,-10,412,422,272,66.01941747572816,1,138,69.34673366834171,13,6.532663316582915,199,79.16,running
Josh Williams,4106,2022/03/13,O'Reilly,Phoenix Raceway,30,35,35,27,36,34.89,-11,17,28,0,0.0,0,0,0.0,0,0.0,178,26.83,ignition
Ricky Stenhouse Jr.,3888,2024/09/22,Cup,Bristol Motor Speedway,31,29,27,24,35,29.29,-5,62,67,0,0.0,10,0,0.0,0,0.0,497,35.87,running
Denny Hamlin,1361,2025/07/13,Cup,Sonoma Raceway,16,35,20,11,36,26.84,-42,104,146,6,5.769230769230769,0,5,4.545454545454546,0,0.0,110,44.5,running
Matt Mills,4209,2020/09/26,O'Reilly,Las Vegas Motor Speedway,23,32,30,23,35,31.46,-9,15,24,0,0.0,1,0,0.0,0,0.0,194,32.78,running
Aric Almirola,40,2019/10/20,Cup,Kansas Speedway,13,15,23,9,31,17.85,-12,87,99,25,28.735632183908045,4,126,45.98540145985402,0,0.0,274,72.63,running
Jesse Love,4463,2025/07/27,Cup,Indianapolis Motor Speedway,35,29,24,19,37,27.92,9,47,38,0,0.0,0,0,0.0,0,0.0,167,44.0,running
Justin Haley,4172,2025/06/22,Cup,Pocono Raceway,22,22,19,2,33,19.59,15,92,77,17,18.47826086956522,1,35,21.875,0,0.0,160,56.48,running
Ryan Sieg,3884,2025/06/01,O'Reilly,Nashville Superspeedway,11,10,22,10,34,19.57,8,52,44,5,9.615384615384615,0,40,21.390374331550802,0,0.0,187,62.83,running
Chase Purdy,4295,2024/10/26,Trucks,Homestead-Miami Speedway,17,19,26,9,25,16.75,-15,71,86,13,18.309859154929576,0,44,33.587786259541986,0,0.0,131,54.5,running
Sheldon Creed,4204,2022/07/24,O'Reilly,Pocono Raceway,6,5,5,2,29,5.35,1,16,15,14,87.5,1,87,96.66666666666667,0,0.0,90,104.09,running
Brandon Jones,4085,2020/02/15,O'Reilly,Daytona International Speedway,6,9,4,3,24,9.16,-10,159,169,139,87.42138364779875,11,110,91.66666666666667,0,0.0,120,99.4,running
Ross Chastain,4001,2020/06/06,Trucks,Atlanta Motor Speedway,27,1,6,1,30,8.44,45,96,51,43,44.791666666666664,6,110,80.88235294117646,17,12.5,136,110.03,running
Brandon Jones,4085,2019/09/14,O'Reilly,Las Vegas Motor Speedway,6,9,3,3,11,5.63,5,46,41,43,93.47826086956522,17,200,100.0,0,0.0,200,109.67,running
Ty Gibbs,4368,2022/04/02,O'Reilly,Richmond Raceway,1,2,1,1,19,2.08,-3,7,10,7,100.0,27,250,100.0,114,45.6,250,134.69,running
Sammy Smith,4441,2024/06/30,O'Reilly,Nashville Superspeedway,12,12,30,4,33,23.01,-10,25,35,9,36.0,0,54,28.877005347593585,0,0.0,187,63.0,running
Kyle Larson,4030,2024/06/02,Cup,World Wide Technology Raceway,13,4,10,1,32,13.09,21,134,113,51,38.059701492537314,5,171,71.25,7,2.9166666666666665,240,87.02,running
Brad Keselowski,1816,2022/03/13,Cup,Phoenix Raceway,18,26,23,15,31,24.52,-20,45,65,1,2.2222222222222223,0,0,0.0,0,0.0,311,43.33,running
Ryan Preece,4070,2019/06/02,Cup,Pocono Raceway,29,25,23,15,33,24.84,14,68,54,2,2.9411764705882355,0,4,2.5157232704402515,0,0.0,159,51.67,running
Luke Fenhaus,4489,2025/07/26,Trucks,Lucas Oil Indianapolis Raceway Park,9,17,13,3,20,14.26,-10,57,67,35,61.40350877192982,0,102,51.0,0,0.0,200,73.83,running
Kyle Weatherman,4187,2021/05/15,O'Reilly,Dover International Speedway,32,27,22,19,35,26.01,3,23,20,0,0.0,0,0,0.0,0,0.0,198,52.83,running
Justin Haley,4172,2025/08/23,O'Reilly,Daytona International Speedway,21,8,19,1,31,14.36,-30,136,166,99,72.79411764705883,3,50,48.07692307692308,7,6.730769230769231,104,74.09,running
BJ McLeod,3973,2019/03/30,O'Reilly,Texas Motor Speedway,28,36,32,21,37,34.46,-12,6,18,0,0.0,2,0,0.0,0,0.0,138,36.33,running
Daniel Suarez,4113,2019/02/24,Cup,Atlanta Motor Speedway,5,13,10,4,22,12.36,-8,84,92,63,75.0,0,295,90.76923076923077,0,0.0,325,82.5,running
